num,manufacturer,manufacturerUrl,modelName,productUrl,note,Rsensitivity,Wsensitivity,Z866,Z915,Z953
0x30005,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30006,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30007,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30008,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30009,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x3000a,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x3000b,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x3000c,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x3000d,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x3000e,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x3000f,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30000,Huada Semiconductor Co. Ltd (HDSC),http://www.hdsc.com.cn/,,,,0,0,0j,0j,0j
0x30000,"LAPIS Semiconductor Co., Ltd.",http://www.lapis-semi.com/en/,,,,0,0,0j,0j,0j
0x30000,PJSC Mikron,http://mikron.ru/en/,,,,0,0,0j,0j,0j
0x30000,"Hangzhou Landa Microelectronics Co., Ltd.",http://www.landsemi.com/ ,,,,0,0,0j,0j,0j
0x30000,"Nanjing NARI Micro-Electronic Technology Co., Ltd.",http://www.sgepri.sgcc.com.cn/ ,,,,0,0,0j,0j,0j
0x30000,"Southwest Integrated Circuit design Co., Ltd.",http://www.swid.com.cn ,,,,0,0,0j,0j,0j
0x30000,Silictec,http://www.silictec.com/,,,,0,0,0j,0j,0j
0x30000,Nation RFID,http://www.nationrfid.com/,,,,0,0,0j,0j,0j
0x30000,Asygn,http://www.asygn.com/,,,,0,0,0j,0j,0j
0x30000,"Suzhou HCTech Technology Co., Ltd.",http://www.hctechgroup.com/,,,,0,0,0j,0j,0j
0x30000,AXEM Technology,https://www.axemtec.com,,,,0,0,0j,0j,0j
0x30000,"Guangzhou Syschip Technology Co., Ltd",http://www.syschip.com,,,,0,0,0j,0j,0j
0x30000,MaxWave Microelectronics Ltd.,https://www.maxwavemicro.com,,,,0,0,0j,0j,0j
0x30000,"IDRO Co., Ltd",www.idro.co.kr,,,,0,0,0j,0j,0j
0x40000,"Shanxi Zhongshuo Microelectronics Co., Ltd.",http://www.zsmicro.com.cn,,,,0,0,0j,0j,0j
